Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted
Flux Curse Administration	BS31	BS31-101.jpg	Common	Magic	Purple	4			(Main) Put all the cores on all opposing Nexuses to their Trash.	(Flash) If Soul Core was used to pay the cost, destroy 1 opposing exhausted cost 6 or lower Spirit/Ultimate.							
Soul Shoot	BS31	BS31-102.jpg	Common	Magic	Purple	5			(Flash) Move 1 core from any opposing Spirit/Ultimate to their Reserve. If Soul Core was used to pay the cost, additionally, move 1 more core from any opposing Spirit/Ultimate to their Reserve.								
Body Flicker Technique	BS31	BS31-103.png	Rare	Magic	Green	3			"Flash - Refresh 1 of your Spirits in the ""Ninja Gale"" family. If Soul Core was used to pay the cost, additionally, refresh all of your Spirits that has the same name as the Spirit you refreshed with this effect."								
Wind Release Technique	BS31	BS31-104.jpg	Common	Magic	Green	4			(Flash) Exhaust 1 opposing Spirit/Ultimate without Soul Core on it. After that, during this turn, give 1 of your Spirits +5000 BP.								
Body Substitution Technique	BS31	BS31-105.jpg	Common	Magic	Green	4			(Main) During this turn, when one or more of your Spirits is destroyed, exhaust 1 opposing Spirit. If Soul Core was used to pay the cost, additionally, return your destroyed Spirit to your hand.	(Flash) If Soul Core was used to pay the cost, exhaust 1 opposing Spirit.							
Time Rewind	BS31	BS31-106.jpg	Common	Magic	White	3			(Main) Return one opposing nexus to the bottom of the deck.	(Flash) When Soul Core is used to pay the cost, refresh one of your Spirits.							
Impregnable Wall	BS31	BS31-107.jpg	Uncommon	Magic	White	4			This card in your trash is unaffected by all effects.	(Flash) At the end of the battle, end the attack step. When Soul Core is used to pay the cost, additionally, all your Spirits destroyed by the opponent during this battle remain on field in exhausted position.							
Dream Bubble	BS31	BS31-108_500.jpg	Rare	Magic	White	4			(Flash) Return one opposing Spirit to the hand. When Soul Core is used to pay the cost, instead, return one opposing Spirit or Ultimate to the hand.								
Yellow Recover	BS31	BS31-109.jpg	Uncommon	Magic	Yellow	3			(Flash) Refresh 1 of your Yellow Spirits. This effect can only be used once per turn.								
Tousenbo Wall	BS31	BS31-110_500.jpg	Rare	Magic	Yellow	4			"While ""Nurikabe"" is on your Field, treat all the reduction for this Magic card as filled."	Flash - During this turn, all opposing Spirits cannot attack. If Soul Core was used to pay the cost, instead, during this turn, all opposing Spirits/Ultimates cannot attack.							
Fireball Attack	BS31	BS31-111.jpg	Common	Magic	Yellow	5			"(Flash) During this turn, 1 target opposing Spirit/Ultimate gets -6000 BP. Destroy any Spirit/Ultimate that have their BP brought down to 0 by this effect. If Soul Core was used to pay the cost, this effect's targeting effect changes to - for each of your Spirits in the ""Youkai"" family, target 1 opposing Spirit/Ultimate."								
Mantra Draw	BS31	BS31-112.png	Rare	Magic	Blue	3			"(Main) Draw 3 cards from your deck. After that, discard 2 cards from your hand. While you have Soul Core on one of your Spirits with ""WisdomKing""/""Douji"" in its name, decrease the number of cards you discard from this effect by -1."	(Flash) Target Spirit gets +3000 BP until end of turn.						This card is limited to 1 per deck.	
Blue Strike Blaze	BS31	BS31-113.jpg	Common	Magic	Blue	4			(Flash) Destroy 2 opposing Spirits/Ultimates with cost 4 or less. Discard 1 card from the top of your opponent's deck for each cost of the Spirits destroyed.								
Hydro Exposure Dragon	BS31	BS31-114.jpg	Common	Magic	Blue	7			(Flash) Treat all opposing brave-fused Braves as cost 0, and destroy 1 opposing Spirit/Ultimate that is cost 6 or less. If Soul Core was used to pay the cost, instead, treat all opposing brave-fused Braves as cost 0, and destroy 3 opposing Spirits/Ultimates that are cost 6 or less.								
The SengokuDragon Souldragon	BS31	The_SengokuDragon_Souldragon.png	X-Rare	Spirit	Red	7	Consecutive Blade	Lord, War Dragon	[LV1][LV2][LV3][LV4] (When Summoned) Destroy all opposing Ultimates with 20000 BP or less.	[LV1][LV2][LV3][LV4] Consecutive Blade (When Attacks) By sending Soul Core from this Spirit to your trash, your opponent must block with two of their Spirits or Ultimates if possible, and simultaneously battle this Spirit.	[LV2][LV3][LV4] (When Attacks) For each opposing Spirit destroyed by comparing BP through [Consecutive Blade], move 1 core from the opponent's Life to their Reserve.						
The DarkArtsMagician Ogma	BS31	BS31-X02.png	X-Rare	Spirit	Purple	6		Nightling	"[LV1][LV2][LV3][LV4] Flash (Either Attack Step) By moving the Soul Core on this Spirit to Trash, summon any number of Spirit cards/Brave cards in the ""Ogre Wizard""/""Spiritual Beast""/""Nightling"" family from your Trash"	[LV2][LV3][LV4] (When Destroyed by the Opponent) By discarding 4 cards from the top of your deck, this Spirit remains on the Field in its current condition.							
The ArmoredMothHead Kuwagaslayer	BS31	BS31-X03.png	X-Rare	Spirit	Green	5		Ninja Gale, Shellman	[LV1][LV2][LV3] (When Attacks) Move 1 core from the void to any of your Spirits.	"[LV2][LV3] (When Battles) By moving Soul Core(Soul Core) from this Spirit to your Reserve, reveal 3 cards from the top of your deck. From among them, you can summon any number of Spirit cards/Brave cards in the ""Ninja Gale"" family without paying the cost. Return cards that are not summoned and remaining cards to the bottom of your deck in any order."							
The GreatCleverMachineMusha Kongou	BS31	BS31-X04.png	X-Rare	Spirit	White	8		Armed Machine, Clever Machine	"[LV1][LV2][LV3] (Opponent's Turn) All of your Spirits in the ""Clever Machine"" family is not affected by opposing Spirit/Ultimate effects."	[LV1][LV2][LV3] (When Battles) Return 1 opposing Spirit/Ultimate without Soul Core on it to their hand.	[LV2][LV3] (Every Attack Step) While there is Soul Core on this Spirit, any Spirit/Ultimate that would return to the opponent's hand is returned to the bottom of their deck instead.						
The SengokuPrincess Nayuta	BS31	BS31-X05.png	X-Rare	Spirit	Yellow	7		Fairy, War Princess	"[LV1][LV2][LV3][LV4] (Your Attack Step) While your Spirits in the ""War Princess"" is attacking, when you use a Magic card, the attacking Spirit cannot be blocked during that battle."	[LV2][LV3][LV4] (Every Attack Step) While there is a Soul Core on this Spirit, during the flash timing, you can use 1 Magic card without paying the cost.							
The SupremeRealmWisdomKing Nirvana	BS31	BS31-X06.png	X-Rare	Spirit	Blue	9		Fighting Spirit	[LV1][LV2][LV3][LV4] (When Attacks) Destroy 1 opposing Spirit/Ultimate with the highest cost. For each of Spirit/Ultimate's cost, destroyed by this effect, discard 1 card from the top of your opponent's deck.	"[LV2][LV3][LV4] (Your Attack Step) While there is Soul Core on this Spirit, when your Spirits with ""WisdomKing"" in its name activate effects that ""discards cards from your opponent's deck"" and discard a cost 3 card, refresh that Spirit."							
The SixAbsoluteDeities Greedy-Death-Gal-Vados	BS31	BS31-XX01_500.jpg	XX-Rare	Spirit	Purple	5		Crystalline Deity	[LV1][LV2][LV3] (When Summoned) If you have 5 or more Purple cards in your Trash, draw 5 cards from your deck.	[LV3] (When Destroyed) If you have 20 or more cards in your hand, move all the cores on opposing Spirits/Ultimates to the Trash.							
The SixAbsolute Deities Impenetrable-Chrome-Riservar	BS31	BS31-XX02_500.jpg	XX-Rare	Spirit	White	0	Ultra Immunity	Crystalline Deity	While you have a Spirit that is not White on your Field, this Spirit card becomes cost 8.	[LV1][LV2] Ultra Immunity: Red/ Purple/ Green/ White/ Yellow/ Blue - This Spirit is not affected by opposing Spirit/ Ultimate/ Magic/ Nexus effects of the listed colors.	[LV2] While your Life is 1, your White Spirits are unaffected by all opposing effects.						
The HeadVassal Akatsukidragon	BS31	BS31-CP01.png	Promo	Spirit	Red	6	True-Clash	Vassal, War Dragon	"[LV1][LV2] (Your Attack Step) While there is Soul Core on this Spirit, when your Spirits in the ""Lord""/ ""Vassal"" family are blocked by opposing Spirits with 5000 BP or less, or opposing Ultimates with 15000 BP or less, move 1 core from the opponent's Life to their Reserve."	[LV2] True-Clash (When Attacks) Your opponent must block with one of their Spirits/ Ultimates if possible.							
The VassalOgre Shiki	BS31	BS31-CP02.jpg	Promo	Spirit	Purple	4		Vassal, Ogre Wizard	"[LV1][LV2][LV3] (When Summoned) If Soul Core was used to pay the summon cost, you can summon 1 Spirit card in the ""Vassal"" family that is cost 6 or less from your Trash without paying the cost."								
The HeadVassal Kimadara	BS31	BS31-CP03.png	Promo	Spirit	Green	4		Vassal, Ninja Gale, Shellman	"[LV1][LV2] (When Summoned) Move 1 core each from the void to 2 of your Spirits in the ""Vassal"" family. If Soul Core was used to pay the summon cost, additionally, move 2 cores from the void to 1 of your Spirits in the ""Lord"" family."								
The VassalMusha Tokikaze	BS31	BS31-CP04.jpg	Promo	Spirit	White	4		Vassal, Armed Machine, Clever Machine	"[LV1][LV2] (When Summoned) Return 1 opposing Spirit to their hand. If Soul Core was used to pay the summon cost, move 2 cores from the void to any of your other Spirits in the ""Vassal"" family."								
The VassalTengu Coppa	BS31	BS31-CP05.jpg	Promo	Spirit	Yellow	2		Vassal, Youkai	"[LV1][LV2] (When destroyed by the opponent) Draw 1 card from your deck. If there is Soul Core on this Spirit, additionally, you can summon 1 Spirit card in the ""Vassal"" family that is cost 6 or less from your hand without paying the cost."								
The VassalWisdomKing Rudra	BS31	BS31-CP06.jpg	Promo	Spirit	Blue	3		Vassal, Fighting Spirit	"[LV1][LV2] (Your Main Step) While there is Soul Core on this Spirit, when you summon one or more Spirit in the ""Vassal"" family, move 1 core from the void to this Spirit."								
Hagurugama	BS31	BS31-077.jpg	Common	Brave	Green	3		Ninja Gale, Plant Spirit	 Cost 3 or more	[LV1] (When Summoned) Move 1 core from the void to your Reserve.	[When Braved] (When Attacks) While there is Soul Core on this Spirit, your opponent cannot activate their set Burst.						
War Lizard	SD29	WarLizard001.png	Common	Spirit	Red	0		Reptile Beast	[LV3] While this Spirit has Soul Core on it, this Spirit gets +6000 BP.								
Mushadaryu	SD29	SD29-002.png	Common	Spirit	Red	1		Terra Dragon									
OosodePtera	SD29	SD29-003.png	Common	Spirit	Red	2		Terra Dragon, Flying Fang	[LV1][LV2] (When Attacks) When this Spirit is blocked, draw one card from your deck.	[LV2] While this Spirit has Soul Core on it, this Spirit gains +4000 BP.							
Jinraidragon	SD29	SD29-004.jpg	Common	Spirit	Red	3	True-Clash	War Dragon	"[LV1][LV2][LV3] (When Attacks) This Spirit gains +3000 BP. While this Spirit has Soul Core on it, this Spirit gains ""True-Clash: Your opponent must block with their Spirits or Ultimates if possible."""								
Night Sky Dragon	SD29	SD29-005.png	Common	Spirit	Red	3	True-Clash	War Dragon	[LV1][LV2] (When Destroyed) Destroy one opposing Ultimate with 12000 BP or less.	[LV2] True-Clash (When Attacks) Your opponent must block with their Spirits or Ultimates if possible.							
Shippuudragon	SD29	SD29-006.png	Common	Spirit	Red	4	True-Clash	War Dragon	[LV1][LV2] True-Clash (When Attacks) Your opponent must block with their Spirits or Ultimates if possible.	[LV2] (When Battles) When battling an Ultimate, this Spirit gains +10000 BP.							
Mushadraco	SD29	SD29-007.png	Common	Spirit	Red	4		War Dragon	"[LV1][LV2][LV3](When Summoned) Reveal the top 4 cards of your deck. Add one Spirit card among them in the family ""War Dragon"" to your hand. Discard the remaining cards."								
Murakumodragon	SD29	SD29-008.png	Uncommon	Spirit	Red	5		War Dragon	[LV1][LV2] (Your Attack Step) When your Spirits are blocked, draw one card from your deck.	[LV2] (Your Attack Step) Your Spirits with Soul Core on them gain +10000 BP.							
The Rookie Hirinmaru	SD29	SD29-009.png	Uncommon	Spirit	Red	6		War Dragon	[LV1][LV2][LV3] (When Attacks) Destroy one opposing nexus. While this Spirit has Soul Core on it, additionally, destroy one opposing Spirit or Ultimate with 8000 BP or less.								
The WildMusha Ma-Zu	SD29	SD29-010.png	Master Rare	Spirit	Red	7		War Dragon, Dragon	[LV1][LV2][LV3] (When Summoned) Destroy one opposing Spirit or Ultimate without Soul Core on it with 20000 BP or less.	[LV2][LV3] (When Attacks) Destroy one opposing Spirit with 6000 BP or less. While this Spirit has Soul Core on it, additionally, destroy one opposing Ultimate with 15000 BP or less.							
The Fierce Dragon Castle	SD29	SD29-011.png	Uncommon	Nexus	Red	3			[LV1][LV2] (Your Attack Step) All your red spirits gain +2000 BP. While this nexus has Soul Core  on it, additionally, all your red spirits gain +2000 BP.	"[LV2] All your red spirits in the family ""War Dragon"" gain the ability ""True-Clash (When Attacks): Your opponent must block with their Spirits or Ultimates if possible."""							
The No. 13 East Capital	SD29	SD29-012.png	Common	Nexus	Red	4			[LV1][LV2] (Opponent's Attack Step) When the opponent decreases your life, destroy one opposing Spirit with 5000 BP or less or one opposing Ultimate with 10000 BP or less.	[LV2] (Your Attack Step) While this nexus has Soul Core on it, when your Red Spirits are blocked by opposing Spirits with 3000 BP or less, they are refreshed.							
Flame Sword Strike	SD29	SD29-013.png	Uncommon	Magic	Red	4			(Flash) Destroy 2 opposing spirits with 3000 BP or less. If Soul Core is used to pay this card's cost, additionally, destroy one opposing nexus.								
Douburyuu Draw	SD29	SD29-014.png	Uncommon	Magic	Red	4			"(Main) Draw 2 cards from your deck. Afterwards, return one Spirit card in the family ""War Dragon"" from your trash to your hand."	(Flash) During this turn, one Spirit gains +2000 BP.							
Crimson Flame	SD29	SD29-015.png	Rare	Magic	Red	6			(Flash) Destroy one opposing Spirit with 8000 BP or less. When Soul Core is used to pay the cost, instead, destroy one opposing Ultimate with 20000 BP or less.								
Sengoku-Gurendragon	SD29	SD29-X01.jpg	X-Rare	Spirit	Red	6	True-Clash	War Dragon	[LV1][LV2][LV3] True-Clash (When Attacks) Your opponent must block with one of their Spirits/Ultimates if possible.	[LV1][LV2][LV3] (When Attacks) Draw one card from your deck. Alternatively, during this turn, this Spirit gets +5000 BP.	[LV2][LV3] (When Attacks) While this Spirit has Soul Core(Soul Core) on it, when the blocking opposing Spirit is depleted or destroyed, send one core from the opponent's life to their reserve.						
The SteelBladeDragon Calyvorous	SD30	SD30-001.png	Common	Spirit	Red	3		Ancient Dragon	[LV2][LV3] (When Attacks) Destroy one opposing nexus. While this Spirit has Soul Core on it, additionally, draw one card from your deck.								
The TwinHornDragon Doubhorn	SD30	SD30-002.png	Common	Spirit	Red	5	True-Clash	Ancient Dragon	[LV1][LV2] While this Spirit has Soul Core on it, this Spirit gains +5000 BP.	[LV2] True-Clash (When Attacks) Your opponent must block with one of their Spirits/Ultimates if possible.							
Sengoku Siegfried	SD30	SD29-X01.png	X-Rare	Spirit	Red	8	Evolution (Awaken)	War Dragon, Ancient Dragon	[LV1][LV2][LV3] Flash Evolution - You may move any number of cores from Spirits you control to this Spirit. 	[LV1][LV2][LV3] (When Attacks) Destroy one opposing Spirit/Ultimate with 10000 BP or less.	[LV2][LV3] While this Spirit has Soul Core on it, this Spirit gains one extra Red symbol.						
The ArmoredMothShinobi Nomikage	SD31	286919_1435819756215.jpg	Common	Spirit	Green	1	High Speed (Swift)	Ninja Gale, Blade Insect	High Speed (Flash) This spirit card may be summoned from your hand during the Flash Step. In that case, the cost of this spirit and the cores to be put on this spirit must be paid or moved from your reserve.								
The ArmoredMothShinobi Namitento	SD31	The_ArmoredMothShinobi_Namitento.jpg	Uncommon	Spirit	Green	2		Ninja Gale, Shellman	[LV1][LV2] (When Destroyed) Exhaust one opposing spirit. While Soul Core is on this Spirit, also exhaust one opposing Spirit.								
The NinjaMaster Higurashi	SD31	286921_1435819759512.jpg	Common	Spirit	Green	3		Ninja Gale, Shellman	[LV1][LV2] (When Summoned) Add 1 core from the void to this spirit.	[LV2] (When destroyed by the opponent) Exhaust all opposing cost 3 or less spirits.							
The StrangeFangShinobi Katanazelle	SD31	286922_1435819760961.jpg	Common	Spirit	Green	3		Ninja Gale, Blade Beast									
Shinobikogane	SD31	286923_1435819762754.jpg	Uncommon	Spirit	Green	4		Ninja Gale, Blade Insect	[LV1][LV2] (When Summoned) Add 1 core from the void to this Spirit. When Soul Core is used to pay the cost, additionally, add 1 core from the void to another Spirit you control.								
The ArmoredMothShinobi Girizou	SD31	286924_1435819764926.jpg	Common	Spirit	Green	4		Ninja Gale, Shellman	"[LV1][LV2][LV3] While Soul Core is on this Spirit, all your Spirits in the family ""Ninja Gale"" get +4000 BP."	[LV2][LV3] When your opponent draws, refresh this Spirit.							
The WindDemonGreatShinobi Highwind	SD31	286927_1435819772946.jpg	Uncommon	Spirit/Soul Burst	Green	6	Soul Burst	Ninja Gale, Winged Beast	[ Soul Burst: After Your Life is Reduced ]	Refresh 1 of your spirits in the Ninja Gale family. Once this effect resolves, summon this spirit without paying the cost.	[LV2] (When Attacks) At the end of the battle, you may return this spirit to your hand. If this spirit was returned to the hand by this effect, you can set a burst from your hand.						
The ShinobiCommander Kurohagane	SD31	5414b8d7.jpg	Master Rare	Spirit/Soul Burst	Green	7	Soul Burst	Ninja Gale, Shellman	[ Soul Burst: When your spirit is destroyed by your opponent ]	Exhaust 1 opposing Spirit. When this burst is activated through Catalyze, additionally, exhaust 1 opposing spirit/ultimate. Once this effect resolves, summon this spirit without paying the cost.	[LV2] (Your Attack Step) When your opponent's life is decreased due to attacks from your spirits with Soul Core in the Ninja Gale family, move 1 core from the opponent's life to their reserve.						
The StrangeFangGreatShinobi Hyousouga	SD31	286929_1435819779089.jpg	Uncommon	Spirit	Green	8		Ninja Gale, Blade Beast	[LV1][LV2][LV3] (When Summoned) Exhaust 3 opposing Spirits/Ultimates.								
Teppounanafushi	SD31	286930_1435819782298.jpg	Common	Brave	Green	4		Ninja Gale, Plant Spirit	Cost 4 or more	[LV1] (When Summoned) By discarding your entire hand (at least 1 card), draw cards from your deck equal to the number of cards in your opponent's hand.							
Earth Release Technique	SD31	286931_1435819784094.jpg	Common	Magic	Green	2			(Flash) Exhaust 1 opposing Spirit. When Soul Core is used to pay the cost, additionally, the Spirit exhausted by this effect cannot be refreshed until after the end of the opponent's next Refresh Step.								
Thousand Shuriken	SD31	286932_1435819785782.jpg	Uncommon	Magic/Soul Burst	Green	4			[ Soul Burst: After your opponent increases their hand due to their effects ]	Exhaust 2 opposing Spirits and add 2 cores from the void to your reserve. After that, by paying the cost, you can activate this card's (Flash) effect.	(Flash) During this turn, one Spirit gets +4000 BP.						
Double Body Swap	SD31	91143853.jpg	Rare	Magic/Soul Burst	Green	4			[ Soul Burst: After your life is decreased ]	"Exhaust 1 opposing Spirit or Ultimate. When this burst is activated through Catalyze, additionally, you may summon up to 2 Spirit cards in the family ""Ninja Gale"" from your hand without paying the cost. After that, by paying the cost, you can activate this card's (Flash) effect."	(Flash) Exhaust all opposing Spirits/Ultimates with a cost of 4 or less.						
The WhirlwindNinja Kirikage	SD31	SD31-X01.png	X-Rare	Spirit	Green	7	Soul Swift, Catalyze	Catalyst, Ninja Gale, Shellman	(Flash Timing) Soul Swift (Every Attack Step) This spirit card may be summoned from your hand during the Flash Step by using 1 Soul Core(Soul Core) from your reserve to pay the entire summon cost. In that case, the cores to be put on this spirit must be moved from your reserve.	[LV1][LV2][LV3] Catalyze: Green (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set green Soul Burst.	[LV3] (When Attacks) Exhaust one opposing Spirit.						
The StrangeFangShinobi Sendoukitsune	SD31	286926_1435819771253.jpg	Common	Spirit	Green	5	Catalyze	Catalyst, Ninja Gale, Blade Beast	[LV1][LV2] Catalyze: All Color (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set Soul Burst.	[LV2] (When Attacks) Exhaust 1 opposing spirit.							
The WindDemon Benimatoi	SD31	286925_1435819769706.jpg	Uncommon	Spirit	Green	4		Ninja Gale, Winged Beast	[LV1][LV2] (When Attacks) Add one core from the void to your reserve. While Soul Core is on this Spirit, also exhaust one opposing Spirit.								
The Wandering Armor	SD32	Wandering_Armed_Helmet.png	Common	Spirit	Purple	3		Evil Shadow	[LV1][LV2] (When Summoned) Draw 1 card from your deck.	[LV1][LV2] The color and symbol of this Spirit are also treated as White.							
Ichibanspear	SD32	Ichibanspear.png	Common	Spirit	White	2		Clever Machine, Armed Machine	[LV1][LV2] The color and symbol of this Spirit is also treated as Red.	"[LV1][LV2] Treat all ""The HeavenlyDemonKing God-Sechs"" in your hand as cost 6."	[LV2] Ultra Armor: Red, White, Blue: This Spirit cannot be affected by opposing Spirit/Ultimate/Nexus/Magic effects of the specified colors.						
The CleverMachineMusha Jako	SD32	SD32-003_The_CleverMachineMusha_Jako.jpg	Common	Spirit	White	4		Clever Machine, Armed Machine	[LV1][LV2] (When Summoned) Return one opposing Spirit to the hand. When there is Soul Core on one of your red Spirits besides this one, draw one card from your deck.	[LV1][LV2] The color and symbol of this Spirit are also treated as Red.							
The CleverMachineMusha Itekaze	SD32	SD32-004.jpg	Master Rare	Spirit	White	6	Soul Burst	Clever Machine, Armed Machine	[ Soul Burst: After your Spirit is depleted/destroyed by the opponent ]	Return one opposing Spirit to the hand. After that effect resolves, summon this Spirit card without paying the cost.	[LV1][LV2][LV3] The color and symbol of this Spirit are also treated as Red/Purple.	[LV2][LV3] While there is Soul Core on this Spirit, all of your Spirits with 2 or more colors get +3000 BP.					
Origamiantler	SD32	SD32-005_Origamiantler.jpg	Uncommon	Brave	Purple	5		Spiritual Beast, Machine Beast	Cost 4 or more	[When Braved] (When Attacks) Move one core from any opposing Spirits to the reserve. After that, add one core from the void to your white Spirit with Soul Core on it.							
The Six Heaven Castle Dyed in Red	SD32	The_Castle_Dyed_In_Red.png	Common	Nexus	Red	4			[LV1][LV2] Also treat the color and symbol of this nexus as purple.	[LV2] (Your Draw Step) Increase the number of cards you draw by +1. After you draw, discard one card from your hand.							
Demon King Blade	SD32	SD32-007.jpg	Uncommon	Spirit	White	5			[ Soul Burst: After an opposing Spirit attacks ]	For each color of symbol on your field, refresh one of your Spirits. After that, by paying the cost, activate this card's (Flash) effect.	(Flash) Return one opposing Spirit to the hand. While there is Soul Core on your Red/Purple Spirit, additionally, draw one card from your deck.						
The DarkKingGeneral Darkness-Griffon	SD32	SD32-X01.jpg	X-Rare	Spirit	White/Purple	9		Clever Machine, Armed Machine	[LV1][LV2][LV3] (When Summoned) For every color of symbol on your field, return one opposing Spirit or Ultimate to the hand. When Soul Core is used to pay the cost, all core from the Spirits/Ultimates returned to the hand by this effect goes to the trash rather than the reserve.	[LV2][LV3] (When Attacks) Once per turn, by destroying an exhausted opposing Spirit, refresh this Spirit.							
The HeavenlyDemonKing God-Sechs	SD32	SD32-X02.jpg	X-Rare	Spirit	All	8	Six Heaven's Rush	Heavenly Demon King	[LV1][LV2][LV3] This Spirit is unaffected by opposing Spirit/Magic effects.	[ Six Heaven's Rush (Condition:Three Symbol Colors) ] While you have three or more colors of symbols, all opposing Spirits and Ultimates can't refresh.	[LV2][LV3] (Your Attack Step) While there is Soul Core on this Spirit, when your Spirits with 2 or more colors attack, send 2 cores from any opposing Spirits/Ultimates to the trash.						
Battleship-Moa	SD32	78734623.jpg	Promo	Spirit	White	5		Machine Beast	[LV1][LV2] Neither player's decks can be discarded.	[LV1][LV2] (When this spirit attacks) Discard 1 opposing set Burst. When you have a Burst set, also return 1 opposing cost 3 or lower Spirit to their hand.							
The SengokuPrincess Anko	BSC20	BSC20-015.jpg	Common	Spirit	Yellow	3		Fairy, War Princess	[LV1][LV2] (Start of Your Attack Step) While Soul Core is on this Spirit, by revealing one Magic card or cost 3 Spirit card in your hand and removing it from game, draw 1 card from your deck. You may play the revealed cards as if they were in your hand until the end of game.								
The Blue Swords WisdomKing	BSC20	BSC20-018.png	Uncommon	Spirit	Blue	5		Vassal, Fighting Spirit	"[LV1][LV2] (When Attacks) Discard 3 cards from the top of your opponent's deck. While Soul Core is on this Spirit, additionally, return one Spirit card in the family ""Fighting Spirit"" from your trash to your hand."	[LV2] (When Attacks) Destroy one opposing Spirit with cost 4 or less.							
Inugami	BSC20	BSC20-017.png	Rare	Spirit	Yellow	5		Youkai	[LV1][LV2][LV3] (Your Attack Step) While there is Soul Core on this Spirit, whenever you use a magic card, draw 1 card.	[LV2][LV3] (When Destroyed) By discarding 1 magic card from your hand, this spirit remains on the field, refreshed.							
Fuurin	BSC20	BSC20-014.png	Common	Spirit	Yellow	2		Youkai	[LV1][LV2][LV3] (When Destroyed by the Opponent) Return one magic card from your trash to your hand.								
The CleverMachineMusha Shiranui	BSC20	BSC20-012.png	Rare	Spirit	White	5	Ultra Armor	Clever Machine, Armed Machine	[LV1][LV2] Ultra Armor: Red/Purple/White: This Spirit cannot be affected by opposing Spirit/Ultimate/Nexus/Magic effects of the specified colors.	[LV1][LV2] (Your Opponent's Attack Step) While there is Soul Core on this Spirit, this Spirit can block while exhausted.	[LV2] (When Blocks) This Spirit gains +5000 BP.						
The CleverMachineMusha Zantetsu	BSC20	BSC20-011.png	Uncommon	Spirit	White	3	Ultra Armor	Clever Machine, Armed Machine	[LV1][LV2] Ultra Armor Red: This Spirit cannot be affected by opposing Spirit/Ultimate/Nexus/Magic effects of the specified colors.	"[LV2] While there is Soul Core on this Spirit, all your White Spirits gain ""Ultra Armor: Red""."							
The WindDemon Amatsuba	BSC20	BSC20-007.jpg	Uncommon	Spirit	Green	4	High Speed (Swift)	Ninja Gale, Winged Beast	High Speed (Flash) This Spirit card in your hand can be summoned by paying the cost and placing cores on it from your Reserve.	[LV1][LV2] (When Summoned) Refresh one of your Spirits with cost 5 or less. When Soul Core is used to pay the summon cost, instead, refresh one of your Spirits.							
The SnakeArtsMagician Zuda	BSC20	BSC20-005.png	Uncommon	Spirit	Purple	4		Nightling, Dark Snake	[LV1][LV2][LV3] (When Summoned) When Soul Core is used to pay the summon cost, draw 1 card from your deck	[LV2][LV3] When a cost 6 or more Spirit is summoned from your trash, move all but 1 core from one opposing Spirit or Ultimate to the reserve.							
The ArmorFalcon Suiran-Hawk	BSC20	BSC20-021.jpg	Master Rare	Spirit	Green	1	High Speed (Swift)	Ninja Gale, Winged Beast	(Flash) High Speed - This brave card in your hand can be summoned by paying the cost and placing cores on it from your reserve.	[When Braved] While Soul Core is on this Spirit, this Spirit gains 1 green symbol.							
The Necromancer Mumei	BSC20	BSC20-006.png	Rare	Spirit	Purple	6		Nightling	Flash (Either Attack Step) By paying the summoning cost using your Soul Core, summon this Spirit card from your trash.	[LV1][LV2][LV3] (When Summoned) Destroy one opposing exhausted Spirit with 10000 BP or less.							
Moon Rabbit	BSC20	BSC20-016.jpg	Uncommon	Spirit	Yellow	4	Holy Life	Imaginary Beast	[LV1][LV2][LV3] Holy Life (When Attacks) When the opponent's life is decreased by this Spirit's Attack, put one core from the Void to your Life.	"[LV2] (Your Attack Step) While Soul Core is on this Spirit, the number of lives added from your Spirits ""Holy Life"" effects become 2."							
The CleverMachineBeast Shoujou	BSC20	BSC20-010.jpg	Common	Spirit	White	3		Clever Machine, Machine Beast	[LV1][LV2] (Opponent's Turn) When the opponent's hand increases due to any player's effects, place 1 core from the void to one of your white Spirits. While there is Soul Core on this Spirit, additionally, refresh one of your white Spirits.								
The CleverMachineBeast Yoroiphant	BSC20	BSC20-013.jpg	Uncommon	Spirit	White	5		Clever Machine, Machine Beast	[LV1][LV2][LV3] Also treat this Spirit's color and symbol as Purple.	[LV2][LV3] (When Attacks) Return one opposing Nexus to the bottom of the deck. While Soul Core is on this Spirit, additionally, return one opposing Spirit or Ultimate with cost equal to or less than this Spirit's to the hand.							
Dream Chest (Revival)	BSC22	Dream_chest.jpg	Common	Magic	White	5			(Flash Step)(Your Main Phase) Move target spirit to the top of its owner's deck. If Soul Core is used to pay the cost, instead, move target Ultimate to the top of its owner's deck.								
Matchra (Revival)	BSC22	56_315955.jpg	Common	Spirit	Green	3		Parasite	[LV1][LV2] (When Summoned) If Soul Core is used to pay the summon cost, discard one card from your opponent's hand without looking at the contents.								
Verdant Release Technique	BSC20	BSC20-022.png	Common	Magic	Green	5			(Flash) Exhaust one opposing Spirit or Ultimate. When Soul Core is used to pay the cost, additionally, add 2 cores from the void to one of your Spirits.								
