Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted List
The SupremeMusha Daybreak-Third	BS34	Tenkamusha.png	X-Rare	Spirit/Soul Burst	White	5		Lord, Clever Machine, Armed Machine	[ Soul Burst: After Your Life is Decreased ]	Discard one opposing burst. After this effect resolves, summon this spirit card without paying the cost.	[LV2][LV3] When your opponent does not have a burst set, this spirit cannot be destroyed.	[LV3] (When Attacks) When you have only white symbols on your field and the opponent does not have a burst set, this spirit cannot be blocked.					
The SengokuPrincess Ayame	BS34	CYl478LUEAEPNUq.png	X-Rare	Spirit	Yellow	6		War Princess, Fairy	"[LV1][LV2][LV3][LV4] (When Summoned) For each of your Spirits in the ""War Princess"" or ""Fairy"" family, return 1 opposing Spirit to the hand. For each spirit returned by this effect, return 1 Magic card from your trash to your hand."	[LV2][LV3][LV4] (Your Attack Step) After you use a Magic card and its effect resolves, during that battle, add 1 yellow symbol to your attacking Spirit.							
The Seven Seas Daimyo Shironagasu	BS34	BS34-X06_500.jpg	X-Rare	Spirit/Soul Burst	Blue	12		Lord, Beast Head	[ Soul Burst: After an opponent depletes or destroys your Spirit ]	"Destroy all Spirits that are not in the ""Lord"" or ""Beast Head"" families. After that, you can summon this Spirit card at no cost."	[LV2][LV3] (When Attacks) When your life is 3 or below, destroy 1 opposing Spirit/Ultimate with a lower cost than this Spirit. Until end of turn, for every symbol on the destroyed Spirit/Ultimate, this Spirit gains 1 Blue Symbol.						
The SengokuDragonGod Tenkafubu	BS34	Tenkafubu.png	XX-Rare	Ultimate	Red	7		Sengoku God	[Summon Condition: Your Life must be 3 or less]	"[LV3][LV4][LV5] (Your Main Step) Make the cost of all Ultimates in your hand with ""SengokuSixGeneral"" in their name become equal to your life."	"[LV4][LV5] (When Attacks) Soul Drive - By banishing the Soul Core on this Ultimate from the game, activate the Soul Drive of a Red/Yellow/White/Green/Purple/Blue Ultimates you control other than ""SengokuDragonGod Tenkafubu,"" one of each color."						
The ExplosionCatalyzer Izana	BS34	BS34-CP01.jpg	X-Rare	Spirit	Red	5	Catalyze	Catalyst, War Dragon	[LV1][LV2] Catalyze: Red (When Summoned) By sending Soul Core from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The DuskCatalyzer Nakagami	BS34	BS34-CP02.jpg	X-Rare	Spirit	Purple	5	Catalyze	Catalyst, Nightling	[LV1][LV2][LV3] Catalyze: Purple (When Summoned) By sending Soul Core from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2][LV3] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The GreenShadowCatalyzer Aogiri	BS34	BS34-CP03.jpg	X-Rare	Spirit	Green	5	Catalyze	Catalyst, Ninja Gale, Shellman	[LV1][LV2][LV3] Catalyze: Green (When Summoned) By sending Soul Core (Soul Core) from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2][LV3] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The CleverMachineCatalyzer Ginrei	BS34	BS34-CP04.jpg	X-Rare	Spirit	White	5	Catalyze	Catalyst, Clever Machine	[LV1][LV2][LV3] Catalyze: White (When Summoned) By sending Soul Core from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2][LV3] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The MoonlightCatalyzer Mio	BS34	BS34-CP05.jpg	X-Rare	Spirit	Yellow	5	Catalyze	Catalyst, War Princess	[LV1][LV2][LV3] Catalyze: Yellow (When Summoned) By sending Soul Core from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2][LV3] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The DeepSeaCatalyzer Unato	BS34	BS34-CP06.jpg	X-Rare	Spirit	Blue	5	Catalyze	Catalyst, Beast Head	[LV1][LV2][LV3] Catalyze: Blue (When Summoned) By sending Soul Core from this spirit to your trash, immediately activate your set Soul Burst. After that burst activates, draw one card from your deck.	[LV2][LV3] (When Battles) You can set one card with a burst effect from your hand to your burst zone.							
The SengokuSixGenetal LeonLancer	BS34	BS34_X01.png	X-Rare	Ultimate	Red	8	Soul Drive	Next Generation, Emperor Beast	[Summon Condition: Your Life must be 3 or Less]	[LV3][LV4][LV5] (When Attacks) Destroy one opposing Spirit with 10000 BP or less.	Soul Drive - By banishing Soul Core on this Ultimate from the game, destroy all opposing Spirits/Ultimates with 20000 BP or less.	[LV4][LV5] (Your Attack Step) When this Ultimate destroys an opposing Spirit with Soul Core on it, send one core from the opponent's life to their reserve.					
The HeavenlyDemonKing God-Sechs -Type Destroy-	BS34	BS34-XX02.png	XX-Rare	Spirit	All	10	Six Heaven's Rush	Heavenly Demon King	"This spirit card in your hand or trash can be summoned at no cost after your ""The HeavenlyDemonKing God-Sechs"" finishes attacking by returning one of your ""The HeavenlyDemonKing God-Sechs"" to your hand."	[LV1][LV2][LV3] (When Attacks) Discard one opposing burst.	[ Six Heaven's Rush (Condition: Four Symbol Colors) ] While you have four or more colors of symbols and when there is Soul Core on this spirit, destroy one opposing spirit or ultimate with the same color as the symbols you have for each color of symbol you have on field.						
